Date,USD_NGN,GBP_NGN,EUR_NGN,Day,Month,Year,Weekday,Is_Weekend,USD_Diff,EUR_Diff,GBP_Diff,USD_MA7,EUR_MA7,GBP_MA7,USD_Rate_Category,lag_1,lag_7,lag_14,lag_30,rolling_mean_7,rolling_std_7,rolling_mean_14,rolling_std_14,rolling_mean_30,rolling_std_30,target
2016-03-20,199.2238,224.618,288.1175,20,March,2016,Sunday,True,0.155799999999999,0.26169999999999,-0.113,198.946057142857,223.2648,285.866928571429,Low,199.068,198.2313,199.218,198.9644,198.8042714285714,0.2981785802423563,198.7129285714286,0.5729931069908084,198.91425666666666,0.48132127680525144,199.2389
2016-03-21,199.2389,223.8399,286.2465,21,March,2016,Monday,False,0.0150999999999897,-0.778099999999995,-1.87099999999998,198.989614285714,223.694571428571,286.176757142857,Low,199.2238,198.934,199.121,199.0402,198.94605714285717,0.2001867616123734,198.71334285714286,0.5733883349327961,198.92290333333332,0.48457214507367363,199.0169
2016-03-22,199.0169,223.3228,283.0617,22,March,2016,Tuesday,False,-0.222000000000008,-0.517099999999999,-3.18480000000005,199.012185714286,224.041842857143,286.399185714286,Low,199.2389,198.8589,199.0739,199.1905,198.98961428571428,0.2283197423854018,198.7217642857143,0.5806559587846916,198.92952666666667,0.48757931551618755,199.0453
2016-03-23,199.0453,222.4838,280.9525,23,March,2016,Wednesday,False,0.0284000000000049,-0.838999999999999,-2.10919999999999,199.069,223.993828571429,286.093442857143,Low,199.0169,198.6476,198.9177,199.0899,199.01218571428575,0.22093416386546516,198.71769285714285,0.5781915379526757,198.92374,0.48540052896235497,199.2601
2016-03-24,199.2601,222.4878,281.714,24,March,2016,Thursday,False,0.214799999999997,0.0039999999999906,0.761500000000012,199.091057142857,223.592185714286,285.163242857143,Low,199.0453,199.1057,198.9959,199.184,199.069,0.15190468503094387,198.72680714285713,0.582575944820207,198.92225333333332,0.48494215491013737,199.0877
2016-03-25,199.0877,222.334,281.4304,25,March,2016,Friday,False,-0.172399999999982,-0.15379999999999,-0.283599999999978,199.134385714286,223.348942857143,284.250442857143,Low,199.2601,198.7844,197.7566,198.7666,199.09105714285715,0.16843242816677073,198.74567857142856,0.5960856923144998,198.92479,0.4865548814418214,199.0707
2016-03-26,199.0707,222.315,281.4063,26,March,2016,Saturday,True,-0.0170000000000243,-0.0190000000000055,-0.0241000000000327,199.134771428571,223.057328571429,283.275557142857,Low,199.0877,199.068,197.268,198.725,199.13438571428574,0.10250854320286505,198.84075714285717,0.5285160018158965,198.93549333333334,0.486486796030826,199.0728
2016-03-27,199.0728,222.1806,281.3695,27,March,2016,Sunday,True,0.0021000000000128,-0.134399999999999,-0.0367999999999711,199.1132,222.709128571429,282.311557142857,Low,199.0707,199.2238,198.2313,199.0569,199.13477142857144,0.10222179667413507,198.96952142857143,0.27434739958486487,198.94701666666666,0.48542205104772,199.0223
2016-03-28,199.0223,222.8431,283.7461,28,March,2016,Monday,False,-0.0504999999999996,0.662499999999994,2.3766,199.082257142857,222.566728571429,281.954357142857,Low,199.0728,199.2389,198.934,199.5407,199.11319999999998,0.0960493449622312,199.02962857142856,0.17399820259167248,198.94754666666668,0.48555482430102165,198.9823
2016-03-29,198.9823,224.6378,286.2559,29,March,2016,Tuesday,False,-0.039999999999992,1.79470000000001,2.50979999999998,199.077314285714,222.754585714286,282.410671428571,Low,199.0223,199.0169,198.8589,199.815,199.08225714285715,0.08277777192472979,199.0359357142857,0.17185231408619786,198.93026666666665,0.4727739259489314,198.9818
2016-03-30,198.9818,225.4939,286.0165,30,March,2016,Wednesday,False,-0.0005000000000165,0.856099999999998,-0.239399999999989,199.068242857143,223.1846,283.1341,Low,198.9823,199.0453,198.6476,198.7737,199.07731428571427,0.08818711978657512,199.04475,0.16510586230921517,198.90251,0.44251560607551343,198.9313
2016-03-31,198.9313,226.3576,285.8444,31,March,2016,Thursday,False,-0.0504999999999996,0.863699999999994,-0.1721,199.021271428571,223.737428571429,283.724157142857,Low,198.9818,199.2601,199.1057,199.3094,199.06824285714285,0.09502967707419406,199.06862142857145,0.12172985335340687,198.90944666666667,0.44205761656995163,199.0693
